City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
315,riachao,-7.3619,-46.6172,32.01,19,96,2.64,BR,1697662931
316,comodoro rivadavia,-45.8667,-67.5,23.92,25,0,4.63,AR,1697662931
317,castillos,-34.1667,-53.8333,13.58,74,32,3.5,UY,1697662931
318,kamiiso,41.8167,140.65,15.86,91,100,7.07,JP,1697662931
319,sao miguel do araguaia,-13.275,-50.1628,35.67,15,10,2.12,BR,1697662836
320,nuuk,64.1835,-51.7216,-3.66,74,75,8.75,GL,1697662932
321,hollidaysburg,40.4273,-78.3889,14.02,65,100,0.0,US,1697662932
322,machico,32.7,-16.7667,23.89,78,20,1.03,PT,1697662932
323,kitimat,54.0524,-128.6534,13.21,62,100,3.58,CA,1697662932
324,bocas del toro,9.3333,-82.25,27.9,73,85,2.24,PA,1697662700
325,andovoranto,-18.95,49.1,22.82,95,100,1.99,MG,1697662932
326,hell-ville,-13.4,48.2667,26.63,73,9,1.63,MG,1697662933
327,blagoevgrad,42.0167,23.1,9.61,93,48,0.45,BG,1697662933
328,chernyshevskiy,63.0128,112.4714,-9.97,94,92,1.02,RU,1697662933
329,vila velha,-20.3297,-40.2925,24.97,73,100,5.14,BR,1697662747
330,chibougamau,49.9168,-74.3659,12.79,50,75,7.2,CA,1697662933
331,shagonar,51.5333,92.8,5.71,76,0,1.0,RU,1697662933
332,meadow lake,34.8014,-106.5436,29.33,16,0,4.19,US,1697662934
333,nar'yan-mar,67.6713,53.087,1.17,89,100,4.02,RU,1697662934
334,dalai,45.5,124.3,5.45,51,0,4.91,CN,1697662934
335,mahina,-17.5065,-149.489,24.87,78,75,2.57,PF,1697662934
336,kuressaare,58.2481,22.5039,1.12,85,40,3.09,EE,1697662934
337,arauco,-37.2463,-73.3175,13.36,74,7,2.93,CL,1697662934
338,walvis bay,-22.9575,14.5053,15.53,82,22,3.09,NA,1697662934
339,happy valley-goose bay,53.3168,-60.3315,8.17,61,75,5.14,CA,1697662819
340,hammerfest,70.6634,23.6821,1.25,64,75,4.12,NO,1697662880
341,portland,45.5234,-122.6762,22.47,61,8,0.89,US,1697662935
342,hailar,49.2,119.7,-2.25,54,18,3.88,CN,1697662935
343,fada,9.5667,8.3,22.01,90,100,0.74,NG,1697662935
344,usinsk,65.9939,57.5281,1.71,97,100,5.81,RU,1697662935
345,oroqen zizhiqi,50.5667,123.7167,0.07,59,10,4.29,CN,1697662935
346,tocopilla,-22.092,-70.1979,21.47,64,21,6.45,CL,1697662915
